Product (Ticket ID),Work Description (Ticket),Incident Description (Ticket),Month,Product Category
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MPO5531D,(reason not mentioned),PMS Done,aug,Patient monitors
MRjul00AEDPR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900AEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900AEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900AEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900AEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900AEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MRELIFE900R,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MSURGIXE3D,(reason not mentioned),(reason not mentioned),aug,Diathermy
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588PRB,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588MSP02,(reason not mentioned),(reason not mentioned),aug,Patient monitors
382MXDIUAY,(reason not mentioned),(reason not mentioned),aug,Assemblies and Sub-Assemblies
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),PMS DOne,aug,X-ray
MBPLMRAD3.6+,(reason not mentioned),(reason not mentioned),aug,X-ray
MACQUNITNEO,(reason not mentioned),(reason not mentioned),aug,STS-Stress test system
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),PMS DOne,aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),PMS Done,aug,Anaesthesia work station
MAMEFLO6,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6-3GAS,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6-3GAS,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6-3GAS,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6D,(reason not mentioned),(reason not mentioned),aug,Anaesthesia work station
MAMEFLO6D,(reason not mentioned),Pms Done,aug,Anaesthesia work station
MDF261julR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MDF261julR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MPMEV8,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TDVGA,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEV10TDVGA,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MFD9jul14,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul14,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul14,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul14,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
BPLFLORETFBD1000,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
BPLFLORET100,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMNSNjulM,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5644SNIBPSPO2,(reason not mentioned),PMs Done,aug,Patient monitors
MOGOXY5NEOD,(reason not mentioned),PMS Done,aug,Oxygen concentrator
MOGOXY5NEOD,(reason not mentioned),(reason not mentioned),aug,Oxygen concentrator
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLSYRPUMP1,(reason not mentioned),(reason not mentioned),aug,Syringe pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
BPLVOLPUMP1,(reason not mentioned),(reason not mentioned),aug,Volumetric Pump
MBPLCRAYPROPLUSMXDI,(reason not mentioned),(reason not mentioned),aug,C-Arm
MBPLCRAYPROPLUSMXDI,(reason not mentioned),(reason not mentioned),aug,C-Arm
MBPLCNSPRO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF2509R,(reason not mentioned),(reason not mentioned),aug,Defibrillators- Mono phasic
MDF261julAEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MDF261julAEDR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MECUBE-jul,(reason not mentioned),PMS Done,aug,UltraSound
MECUBE-8LE,(reason not mentioned),(reason not mentioned),aug,UltraSound
MECUBE-8LE,(reason not mentioned),(reason not mentioned),aug,UltraSound
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6208VIEWC,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG6108TB,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-single channel
MECG6108TB,(reason not mentioned),PMS Done,aug,Electrocardiographs-single channel
MECG6108TB,(reason not mentioned),PMs Done,aug,Electrocardiographs-single channel
ENDURA5815,(reason not mentioned),(reason not mentioned),aug,OBSOLETE
ENDURA5815,(reason not mentioned),(reason not mentioned),aug,OBSOLETE
ENDURA5815,(reason not mentioned),(reason not mentioned),aug,OBSOLETE
ENDURA5815,(reason not mentioned),(reason not mentioned),aug,OBSOLETE
ENDURA5815,(reason not mentioned),(reason not mentioned),aug,OBSOLETE
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFD9jul13,(reason not mentioned),(reason not mentioned),aug,Foetal Doppler
MFM9852,(reason not mentioned),(reason not mentioned),aug,Foetal Monitor
MFM9852T,(reason not mentioned),PMS Done,aug,Foetal Monitor
MFM9853,(reason not mentioned),(reason not mentioned),aug,Foetal Monitor
696FLORETFBD1000,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
696FLORETFBD1000,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
696FLORETFBD1000,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
696FLORETFBD1000,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
69julBLOSSOM10/100USUAY,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
69julBLOSSOM100UAY,(reason not mentioned),(reason not mentioned),aug,Mother Infant Care
MBPLMRAD5.0,(reason not mentioned),(reason not mentioned),aug,X-ray
MCSC8NEO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MCSC8NEO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLO,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2IBPPHCO2SS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE12MSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMVIVEDVUE8OXSPO2,(reason not mentioned),(reason not mentioned),aug,Patient monitors
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,PMS  done by dealer engineer,(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
M9108,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),PMS Done,aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MECG9108D,(reason not mentioned),(reason not mentioned),aug,Electrocardiographs-Multi channel
MPMEXCELLOADV,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOADV,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOADV,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOADV,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),PMS Done,aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPMEXCELLOD,(reason not mentioned),(reason not mentioned),aug,Patient monitors
FG5008230,PMS DONE,(reason not mentioned),aug,Penlon-Anaesthesia work station
MDF2628,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MPO5530,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MRELIFE900AEDPR,(reason not mentioned),(reason not mentioned),aug,Defibrillators-Bi-Phasic
MSTSTMILLU-BPL,(reason not mentioned),(reason not mentioned),aug,STS-Stress test system
MSTSTMILLU-BPL,(reason not mentioned),PMS Done,aug,STS-Stress test system
BPLSYRPUMP,(reason not mentioned),(reason not mentioned),aug,Syringe pump
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588PRB,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),PMS Done,aug,Patient monitors
MPM5588UPDS,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
MPM5588UPT,(reason not mentioned),(reason not mentioned),aug,Patient monitors
BPLMVLSMEL300STR,(reason not mentioned),PMS Done,aug,Lowenstein ventilators
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),PMS Completed,aug,X-ray
MBPLMRAD100,(reason not mentioned),PMS done.,aug,X-ray
MBPLMRAD100,(reason not mentioned),PMS done.,aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
MBPLMRAD100,(reason not mentioned),PMS Completed,aug,X-ray
MBPLMRAD100,(reason not mentioned),(reason not mentioned),aug,X-ray
